SEGMENT_ID|CHARGE_ID|SERIES_NUM|CONFIRMATION_NUM|RECORD_NUM|BILL_DATE|ORIGINAL_CHARGE_ID|TAX_ID|TAX_CODE|TAX_DESCRIPTION|CODE_TYPE|SVC_DESCRIPTION|REV_CATEGORY_ID|REV_CATEGORY_DESCRIPTION|CHRG_CHANNEL_ID|CHRG_CHANNEL_CODE|CHARGE_STATUS|STATUS_REASON_ID|STATUS_REASON_DESCRIPTION|RES_CURR_CODE|RES_CURR_CHRG_AMOUNT|RPT_CURR_CODE|RPT_CURR_CHRG_AMOUNT|CHARGE_COMMENT|CREATED_DATE|LAST_MODIFIED_DATE
IYNU7R2997|7133|299 |IYNU7R|7|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
IYNU7R2998|7134|299 |IYNU7R|8|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|202|EUR|46|WEB:AIR|17-FEB-16|17-FEB-16
IYNU7R2998|7135|299 |IYNU7R|8|17-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
IYNU7R2998|7136|299 |IYNU7R|8|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
JNTKSM2991|7140|299 |JNTKSM|1|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|138|EUR|32|WEB:AIR|17-FEB-16|17-FEB-16
JNTKSM2991|7141|299 |JNTKSM|1|17-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|17-FEB-16|17-FEB-16
JNTKSM2992|7142|299 |JNTKSM|2|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|138|EUR|32|WEB:AIR|17-FEB-16|17-FEB-16
JNTKSM2992|7143|299 |JNTKSM|2|17-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|17-FEB-16|17-FEB-16
JNTKSM2993|7144|299 |JNTKSM|3|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|152|EUR|35|WEB:AIR|17-FEB-16|17-FEB-16
JNTKSM2993|7145|299 |JNTKSM|3|17-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
JNTKSM2994|7146|299 |JNTKSM|4|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|152|EUR|35|WEB:AIR|17-FEB-16|17-FEB-16
JNTKSM2994|7147|299 |JNTKSM|4|17-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
