SEGMENT_ID|RESERVATION_ID|OD_FLIGHT_ID|SERIES_NUM|CONFIRMATION_NUM|RECORD_NUM|DEPARTURE_DATE|LOGICAL_FLIGHT_ID|PASSENGER_ID|CRS_CODE|CRS_NAME|RECORD_LOCATOR|FLIGHT_STATUS|FROM_AIRPORT|TO_AIRPORT|RES_SEG_STATUS|RES_SEG_STATUS_DESCRIPTION|PTC_ID|PTC_DESCRIPTION|BOOK_DATE|RES_CHANNEL_ID|RES_CHANNEL_DESCRIPTION|BOOKING_AGENT|IATA_NUM|CORPORATION_ID|PROMOTION_ID|PROMOTION_CODE|FARE_CLASS_CODE|SAVED_FB_CODE|NON_REV_ID|NON_REV_DESCRIPTION|TICKET_NUM|TICKET_COUPON_NUMBER|CABIN|POS_OFFICE_OR_CITY_CODE|POS_USER_IDENTIFICATION_NUMBER|POS_AIRPORT_CODE|POS_CRS_CODE|POS_CRS_NAME|POS_USER_TYPE|POS_ISO_COUNTRY_NUM|POS_ISO_COUNTRY_NAME|POS_ISO_CURR|POS_DUTY_CODE|POS_ERSP_ID_NUMBER|POS_POINT_OF_FIRST_DEPARTURE|CANCEL_DATE|CANCEL_AGENT|CANCEL_REASON_ID|CANCEL_REASON_DESCRIPTION|TRAVELS_WITH_PASSENGER_ID|MARKETING_CARRIER_CODE|MARKETING_FLIGHT_NUM|MARKETING_FARE_CLASS|OPERATING_CARRIER_CODE|OPERATING_FLIGHT_NUM|OPERATING_FARE_CLASS|CREATED_DATE|LAST_MODIFIED_DATE
BSMT642997|BSMT64299|201608096557|299|BSMT64|7|09-AUG-16|6557|1430||||OPEN|CFU|WAW|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8078|S |P7|8078|S |16-FEB-16|17-FEB-16
BSMT642998|BSMT64299|201608096557|299|BSMT64|8|09-AUG-16|6557|1429||||OPEN|CFU|WAW|0|CANCELED|6|CHD |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8078|S |P7|8078|S |16-FEB-16|17-FEB-16
LS75OK2991|LS75OK299|201606136545|299|LS75OK|1|13-JUN-16|6545|1431||||OPEN|KTW|VAR|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |16-FEB-16|17-FEB-16
LS75OK2992|LS75OK299|201607116556|299|LS75OK|2|11-JUL-16|6556|1431||||OPEN|VAR|KTW|0|CANCELED|1|ADT |16-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY|||||||||||||17-FEB-16|AutoCancel|10|Auto Cancel||P7|8332|Q |P7|8332|Q |16-FEB-16|17-FEB-16
PIUNE62991|PIUNE6299|201607086529|299|PIUNE6|1|08-JUL-16|6529|1437||||OPEN|KTW|ZTH|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8385|Q |P7|8385|Q |17-FEB-16|18-FEB-16
PIUNE62992|PIUNE6299|201607156564|299|PIUNE6|2|15-JUL-16|6564|1437||||OPEN|ZTH|KTW|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||N |NECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8386|N |P7|8386|N |17-FEB-16|18-FEB-16
IYNU7R2991|IYNU7R299|201608086507|299|IYNU7R|1|08-AUG-16|6507|1438||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|Q |P7|8339|Q |17-FEB-16|17-FEB-16
IYNU7R2992|IYNU7R299|201608086507|299|IYNU7R|2|08-AUG-16|6507|1441||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|Q |P7|8339|Q |17-FEB-16|17-FEB-16
IYNU7R2993|IYNU7R299|201608086507|299|IYNU7R|3|08-AUG-16|6507|1440||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|Q |P7|8339|Q |17-FEB-16|17-FEB-16
IYNU7R2994|IYNU7R299|201608086507|299|IYNU7R|4|08-AUG-16|6507|1439||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|Q |P7|8339|Q |17-FEB-16|17-FEB-16
IYNU7R2995|IYNU7R299|201608156555|299|IYNU7R|5|15-AUG-16|6555|1438||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|Q |P7|8340|Q |17-FEB-16|17-FEB-16
IYNU7R2996|IYNU7R299|201608156555|299|IYNU7R|6|15-AUG-16|6555|1441||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|Q |P7|8340|Q |17-FEB-16|17-FEB-16
IYNU7R2997|IYNU7R299|201608156555|299|IYNU7R|7|15-AUG-16|6555|1440||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|Q |P7|8340|Q |17-FEB-16|17-FEB-16
IYNU7R2998|IYNU7R299|201608156555|299|IYNU7R|8|15-AUG-16|6555|1439||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|Q |P7|8340|Q |17-FEB-16|17-FEB-16
ST22HH2991|ST22HH299|201605236515|299|ST22HH|1|23-MAY-16|6515|1443||||OPEN|VAR|KTW|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8332|S |P7|8332|S |17-FEB-16|18-FEB-16
JNTKSM2991|JNTKSM299|201606066505|299|JNTKSM|1|06-JUN-16|6505|1444||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|Q |P7|8339|Q |17-FEB-16|17-FEB-16
JNTKSM2992|JNTKSM299|201606066505|299|JNTKSM|2|06-JUN-16|6505|1445||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||Q |QECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|Q |P7|8339|Q |17-FEB-16|17-FEB-16
JNTKSM2993|JNTKSM299|201606136555|299|JNTKSM|3|13-JUN-16|6555|1444||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|S |P7|8340|S |17-FEB-16|17-FEB-16
JNTKSM2994|JNTKSM299|201606136555|299|JNTKSM|4|13-JUN-16|6555|1445||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|S |P7|8340|S |17-FEB-16|17-FEB-16
INS9AV2996|INS9AV299|201608156555|299|INS9AV|6|15-AUG-16|6555|1423||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||M |MECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|M |P7|8340|M |17-FEB-16|17-FEB-16
INS9AV2997|INS9AV299|201608156555|299|INS9AV|7|15-AUG-16|6555|1422||||OPEN|BOJ|KTW|1|ACTIVE|6|CHD |17-FEB-16|8|EXT_WEB|web|||||M |MECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|M |P7|8340|M |17-FEB-16|17-FEB-16
INS9AV2998|INS9AV299|201608156555|299|INS9AV|8|15-AUG-16|6555|1465||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||M |MECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|M |P7|8340|M |17-FEB-16|17-FEB-16
XK18MY2991|XK18MY299|201608086507|299|XK18MY|1|08-AUG-16|6507|1448||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||M |MECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|M |P7|8339|M |17-FEB-16|17-FEB-16
XK18MY2992|XK18MY299|201608086507|299|XK18MY|2|08-AUG-16|6507|1447||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||M |MECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|M |P7|8339|M |17-FEB-16|17-FEB-16
XK18MY2993|XK18MY299|201608086507|299|XK18MY|3|08-AUG-16|6507|1449||||OPEN|KTW|BOJ|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||M |MECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8339|M |P7|8339|M |17-FEB-16|17-FEB-16
XK18MY2994|XK18MY299|201608156555|299|XK18MY|4|15-AUG-16|6555|1448||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||M |MECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|M |P7|8340|M |17-FEB-16|17-FEB-16
XK18MY2995|XK18MY299|201608156555|299|XK18MY|5|15-AUG-16|6555|1447||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||M |MECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|M |P7|8340|M |17-FEB-16|17-FEB-16
XK18MY2996|XK18MY299|201608156555|299|XK18MY|6|15-AUG-16|6555|1449||||OPEN|BOJ|KTW|1|ACTIVE|1|ADT |17-FEB-16|8|EXT_WEB|web|||||M |MECON|0|IS_REV|||ECONOMY||||||||||||||||||P7|8340|M |P7|8340|M |17-FEB-16|17-FEB-16
0880IQ2991|0880IQ299|201606206545|299|0880IQ|1|20-JUN-16|6545|1468||||OPEN|KTW|VAR|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |17-FEB-16|18-FEB-16
0880IQ2992|0880IQ299|201606206545|299|0880IQ|2|20-JUN-16|6545|1467||||OPEN|KTW|VAR|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |17-FEB-16|18-FEB-16
0880IQ2993|0880IQ299|201606276556|299|0880IQ|3|27-JUN-16|6556|1468||||OPEN|VAR|KTW|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8332|S |P7|8332|S |17-FEB-16|18-FEB-16
0880IQ2994|0880IQ299|201606276556|299|0880IQ|4|27-JUN-16|6556|1467||||OPEN|VAR|KTW|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8332|S |P7|8332|S |17-FEB-16|18-FEB-16
WZZVGT2991|WZZVGT299|201606206545|299|WZZVGT|1|20-JUN-16|6545|1469||||OPEN|KTW|VAR|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |17-FEB-16|18-FEB-16
WZZVGT2992|WZZVGT299|201606206545|299|WZZVGT|2|20-JUN-16|6545|1470||||OPEN|KTW|VAR|0|CANCELED|1|ADT |17-FEB-16|8|EXT_WEB|web|||||S |SECON|0|IS_REV|||ECONOMY|||||||||||||18-FEB-16|AutoCancel|10|Auto Cancel||P7|8331|S |P7|8331|S |17-FEB-16|18-FEB-16
